5 10
78.526823 40.043910 84.178584
20.557586 91.253088 80.045563
28.499696 77.054730 34.187053
63.258222 48.262308 55.843026
95.270743 51.826690 37.113663
72.012396 63.935461 91.703312
2.613757 61.089919 15.018653
80.613499 14.585926 25.045790
13.849254 40.693495 16.511230
22.607434 99.893527 11.772071
61.651343 84.072111 51.780307
52.904432 64.117674 30.307130
29.959162 97.304727 49.864716
77.221470 53.147753 77.364412
29.048160 89.261416 40.622634
91.983621 80.964727 35.893376
53.073540 94.983380 7.905772
66.659466 20.029171 9.519529
7.352961 35.540401 89.133028
7.246488 46.312472 2.982282
90.318599 97.092779 24.589715
54.436274 27.399909 85.241059
51.741001 76.264625 38.145491
4.888754 53.629037 67.104652
93.150170 93.251671 44.326122
74.114897 29.145047 72.374282
69.098278 36.050819 64.357903
88.127448 44.570348 17.431442
23.667849 33.703376 83.090908
68.980321 35.685658 89.443869
66.073100 59.275373 95.690357
92.473009 44.516432 86.008956
68.737634 81.661923 40.445230
22.366671 48.766575 91.186231
15.618341 92.092697 95.074985
43.763388 64.466979 88.225155
78.814208 28.824882 62.340052
23.384556 45.256324 31.438329
56.087932 28.347233 19.565778
90.773589 17.791102 42.233627
50.048963 13.481459 11.213948
93.565395 98.490415 76.287048
75.227317 38.935645 68.760057
23.993892 30.121876 37.497691
16.086589 25.196861 58.864362
79.553568 13.422016 73.482703
8.378450 74.762067 17.246091
52.634775 6.200397 95.060299
79.982007 24.766175 18.444855
96.773109 65.999802 73.532787
